# Merge of lines_argon.dat, lines_neon.dat and lines_xenon.dat
#------------------------------------------------------------------------------
14600.4637  0   30800 # ArI from NIST ThArLampAtlas
14638.4146  0   55000 # ArI from NIST ThArLampAtlas
14654.3531  0   59000 # ArI from NIST ThArLampAtlas
14697.0258  0   13500 # ArI from NIST ThArLampAtlas
14736.8369  1       0 # XeI from NIST (air 14732.81      200  XeI)
14743.1673  0     366 # ArI from NIST ThArLampAtlas
14790.1040  0    3320 # ArI from NIST ThArLampAtlas
14837.5327  0     440 # ArI from NIST ThArLampAtlas
14854.0588  0      20 # XeI from NIST (air 14850.0        20  XeI)
14881.0296  0       0 # Average of next two lines
#14880.5730  0     880 # ArI from NIST ThArLampAtlas
#14881.4862  0       0 # ArI from NIST (air 14877.420       0  ArI)
#14902.205   0     310 # ArI from NIST ThArLampAtlas
14933.8866  0     110 # NeI from NIST (air 14929.8061    110  NeI)
14971.0460  0     550 # ArI from NIST ThArLampAtlas
14978.662   0     270 # ArI from NIST ThArLampAtlas
14990.4151  0     530 # NeI from NIST (air 14986.3193    530  NeI)
15034.6220  0     130 # ArI from NIST ThArLampAtlas
15050.6179  1    6460 # ArI from NIST ThArLampAtlas
15078.2885  0     140 # NeI from NIST (air 15074.1688    140  NeI)
15089.4331  0      94 # NeI from NIST (air 15085.3103     94  NeI)
15103.8267  0     100 # XeI from NIST (air 15099.7       100  XeI)
15144.24    0       0 # NeI 650
15176.8355  1    1719 # ArI from NIST ThArLampAtlas
15195.08    0       0 # NeI 750
15234.88    1       0 # NeI from NIST (air 15230.7144   5300  NeI)
15306.0653  1    2310 # ArI from NIST ThArLampAtlas
15333.5353  1     731 # ArI from NIST ThArLampAtlas
#15352.39    0       0 # NeI from NIST (air 15348.191     160  NeI)
#..............................................................................
15353.4412  1     487 # ArI from NIST ThArLampAtlas
15357.3219  0     286 # ArI from NIST ThArLampAtlas
#..............................................................................
15374.28    0       0 # NeI from NIST (air 15370.079      74  NeI)
15394.24    0       0 # NeI from NIST (air 15390.030      17  NeI)
15406.8529  0     495 # ArI from NIST ThArLampAtlas
15411.81    0       0 # NeI from NIST (air 15407.595     250  NeI)
15422.61    1       0 # XeI from NIST (air 15418.40    110  XeI)
#15450.9538  0      31 # ArI form NIST ThArLampAtlas (weak)
15455.45    0       0 # NeI from NIST (air 15451.231     110  NeI)
15470.45    0       0 # NeI from NIST (air 15466.227      25  NeI)
15495.20    0       0 # XeI from NIST (air 15490.97     45  XeI)
15503.72    0       0 # NeI from NIST (air 15499.485      23  NeI)
#..............................................................................
#15559.7122  1      29 # ArI from NIST ThArLampAtlas (weak)
#15561.37    0       0 # XeI from NIST (air 15557.12    150  XeI)
15560.5411  0       0 # ArI + XeI, average of previous two lines
#..............................................................................
15608.48    0       0 # NeI from NIST (air 15604.215      65  NeI)
15739.2066  0      47 # ArI from NIST ThArLampAtlas (weak)
15780.9219  0      13 # ArI from NIST ThArLampAtlas
